page_number,report_page,dashboard_section,audience,period_type,selected_period,year,compare_to_year,market,metric_group,metric_name,raw_powerbi_metric,spending_category,value_display,value_numeric,value_rm_million,unit,notes,scraped_at
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Pakistan,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,547.04,547.04,547.04,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:16.175Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Philippines,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1439.15,1439.15,1439.15,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:17.884Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Philippines,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1370.96,1370.96,1370.96,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:17.884Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Philippines,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1804.38,1804.38,1804.38,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:17.884Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Russia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,373.15,373.15,373.15,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:19.614Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Russia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,594.55,594.55,594.55,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:19.614Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Russia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,628.69,628.69,628.69,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:19.614Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Saudi Arabia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,1417.42,1417.42,1417.42,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:21.405Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Saudi Arabia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,573.51,573.51,573.51,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:21.405Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Saudi Arabia,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,719.95,719.95,719.95,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:21.405Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Singapore,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,22.62K,22.62,22620,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:23.184Z
