year,state,rank,district_name
2023,Melaka,1,Melaka Tengah
2023,Melaka,2,Alor Gajah
2023,Melaka,3,Jasin
2023,Pahang,1,Kuantan
2023,Pahang,2,Cameron Highlands
2023,Pahang,3,Bentong
2023,Pahang,4,Temerloh
2023,Pahang,5,Pekan
2023,Pulau Pinang,1,Timur Laut
2023,Pulau Pinang,2,Barat Daya
2023,Pulau Pinang,3,Seberang Perai Tengah
2023,Pulau Pinang,4,Seberang Perai Utara
2023,Pulau Pinang,5,Seberang Perai Selatan
2023,Perak,1,Kinta
2023,Perak,2,Larut & Matang
2023,Perak,3,Manjung
2023,Perak,4,Batang Padang
2023,Perak,5,Hilir Perak
2023,Selangor,1,Petaling
2023,Selangor,2,Sepang
2023,Selangor,3,Hulu Langat
2023,Selangor,4,Gombak
2023,Selangor,5,Sabak Bernam
2023,Terengganu,1,Kuala Terengganu
2023,Terengganu,2,Kemaman
2023,Terengganu,3,Besut
2023,Terengganu,4,Kuala Nerus
2023,Terengganu,5,Dungun
2023,Sabah,1,Kota Kinabalu
2023,Sabah,2,Tawau
2023,Sabah,3,Ranau
2023,Sabah,4,Lahad Datu
2023,Sabah,5,Sandakan
2023,Sarawak,1,Kuching
2023,Sarawak,2,Sibu
2023,Sarawak,3,Miri
2023,Sarawak,4,Bintulu
2023,Sarawak,5,Sri Aman
2024,Johor,1,Johor Bahru
2024,Johor,2,Batu Pahat
2024,Johor,3,Muar
2024,Johor,4,Kota Tinggi
2024,Johor,5,Segamat
2024,Kedah,1,Kota Setar
2024,Kedah,2,Langkawi
2024,Kedah,3,Kuala Muda
2024,Kedah,4,Baling
2024,Kedah,5,Kulim
2024,Kelantan,1,Kota Bharu
2024,Kelantan,2,Bachok
2024,Kelantan,3,Pasir Mas
2024,Kelantan,4,Pasir Puteh
2024,Kelantan,5,Tanah Merah
2024,Melaka,1,Melaka Tengah
2024,Melaka,2,Alor Gajah
2024,Melaka,3,Jasin
2024,Pahang,1,Kuantan
2024,Pahang,2,Bentong
2024,Pahang,3,Cameron Highlands
2024,Pahang,4,Rompin
2024,Pahang,5,Temerloh
2024,Pulau Pinang,1,Timur Laut
2024,Pulau Pinang,2,Barat Daya
2024,Pulau Pinang,3,Seberang Perai Tengah
2024,Pulau Pinang,4,Seberang Perai Utara
2024,Pulau Pinang,5,Seberang Perai Selatan
2024,Perak,1,Kinta
2024,Perak,2,Larut & Matang
2024,Perak,3,Manjung
2024,Perak,4,Kuala Kangsar
2024,Perak,5,Batang Padang
2024,Selangor,1,Petaling
2024,Selangor,2,Sepang
2024,Selangor,3,Gombak
2024,Selangor,4,Kuala Selangor
2024,Selangor,5,Hulu Langat
2024,Terengganu,1,Kuala Terengganu
2024,Terengganu,2,Kuala Nerus
2024,Terengganu,3,Kemaman
2024,Terengganu,4,Besut
2024,Terengganu,5,Dungun
2024,Sabah,1,Kota Kinabalu
2024,Sabah,2,Ranau
2024,Sabah,3,Tawau
2024,Sabah,4,Sandakan
2024,Sabah,5,Keningau
2024,Sarawak,1,Kuching
2024,Sarawak,2,Sibu
2024,Sarawak,3,Bintulu
2024,Sarawak,4,Miri
2024,Sarawak,5,Sri Aman
2025,Johor,1,Johor Bahru
2025,Johor,2,Batu Pahat
2025,Johor,3,Muar
2025,Johor,4,Kota Tinggi
2025,Johor,5,Segamat
2025,Kedah,1,Kota Setar
2025,Kedah,2,Langkawi
2025,Kedah,3,Kuala Muda
2025,Kedah,4,Baling
2025,Kedah,5,Kulim
2025,Kelantan,1,Kota Bharu
2025,Kelantan,2,Bachok
2025,Kelantan,3,Pasir Mas
2025,Kelantan,4,Pasir Puteh
2025,Kelantan,5,Tanah Merah
2025,Melaka,1,Melaka Tengah
2025,Melaka,2,Alor Gajah
2025,Melaka,3,Jasin
2025,Pahang,1,Kuantan
2025,Pahang,2,Bentong
2025,Pahang,3,Cameron Highlands
2025,Pahang,4,Rompin
2025,Pahang,5,Temerloh
2025,Pulau Pinang,1,Timur Laut
2025,Pulau Pinang,2,Barat Daya
2025,Pulau Pinang,3,Seberang Perai Tengah
2025,Pulau Pinang,4,Seberang Perai Utara
2025,Pulau Pinang,5,Seberang Perai Selatan
2025,Perak,1,Kinta
2025,Perak,2,Larut & Matang
2025,Perak,3,Manjung
2025,Perak,4,Kuala Kangsar
2025,Perak,5,Batang Padang
2025,Selangor,1,Petaling
2025,Selangor,2,Sepang
2025,Selangor,3,Gombak
2025,Selangor,4,Kuala Selangor
2025,Selangor,5,Hulu Langat
2025,Terengganu,1,Kuala Terengganu
2025,Terengganu,2,Kuala Nerus
2025,Terengganu,3,Kemaman
2025,Terengganu,4,Besut
2025,Terengganu,5,Dungun
2025,Sabah,1,Kota Kinabalu
2025,Sabah,2,Ranau
2025,Sabah,3,Tawau
2025,Sabah,4,Sandakan
2025,Sabah,5,Keningau
2025,Sarawak,1,Kuching
2025,Sarawak,2,Sibu
2025,Sarawak,3,Bintulu
2025,Sarawak,4,Miri
2025,Sarawak,5,Sri Aman
