year,origin_state,destination_state,tourists_thousands
2020,W.P. Putrajaya,Kelantan,12.006
2020,W.P. Putrajaya,Melaka,27.679
2020,W.P. Putrajaya,Negeri Sembilan,13.049
2020,W.P. Putrajaya,Pahang,39.63
2020,W.P. Putrajaya,Pulau Pinang,15.449
2020,W.P. Putrajaya,Perak,21.175
2020,W.P. Putrajaya,Perlis,1.618
2020,W.P. Putrajaya,Selangor,7.262
2020,W.P. Putrajaya,Terengganu,10.834
2020,W.P. Putrajaya,Sabah,2.975
2020,W.P. Putrajaya,Sarawak,1.197
2020,W.P. Putrajaya,W.P. Kuala Lumpur,1.484
2020,W.P. Putrajaya,W.P. Labuan,0.782
2020,W.P. Putrajaya,W.P. Putrajaya,2.794
2021,Johor,Johor,1160.792
2021,Johor,Kedah,13.88
2021,Johor,Kelantan,15.335
2021,Johor,Melaka,63.397
2021,Johor,Negeri Sembilan,169.995
2021,Johor,Pahang,168.811
2021,Johor,Pulau Pinang,89.884
2021,Johor,Perak,46.615
2021,Johor,Perlis,18.687
2021,Johor,Selangor,70.833
2021,Johor,Terengganu,55.437
2021,Johor,Sabah,2.462
2021,Johor,Sarawak,4.886
2021,Johor,W.P. Kuala Lumpur,41.653
2021,Johor,W.P. Labuan,0.0
2021,Johor,W.P. Putrajaya,6.273
2021,Kedah,Johor,5.586
2021,Kedah,Kedah,323.303
2021,Kedah,Kelantan,36.07
2021,Kedah,Melaka,60.165
2021,Kedah,Negeri Sembilan,24.416
2021,Kedah,Pahang,32.989
2021,Kedah,Pulau Pinang,42.034
2021,Kedah,Perak,102.388
2021,Kedah,Perlis,62.417
2021,Kedah,Selangor,40.514
2021,Kedah,Terengganu,11.58
2021,Kedah,Sabah,4.504
2021,Kedah,Sarawak,6.679
2021,Kedah,W.P. Kuala Lumpur,71.902
2021,Kedah,W.P. Labuan,0.0
2021,Kedah,W.P. Putrajaya,14.166
2021,Kelantan,Johor,27.684
2021,Kelantan,Kedah,14.717
2021,Kelantan,Kelantan,296.255
2021,Kelantan,Melaka,22.683
2021,Kelantan,Negeri Sembilan,12.804
2021,Kelantan,Pahang,64.116
2021,Kelantan,Pulau Pinang,11.793
2021,Kelantan,Perak,30.115
2021,Kelantan,Perlis,2.878
2021,Kelantan,Selangor,31.028
2021,Kelantan,Terengganu,105.846
2021,Kelantan,Sabah,5.252
2021,Kelantan,Sarawak,2.943
2021,Kelantan,W.P. Kuala Lumpur,21.45
2021,Kelantan,W.P. Labuan,0.0
2021,Kelantan,W.P. Putrajaya,4.189
2021,Melaka,Johor,29.822
2021,Melaka,Kedah,48.806
2021,Melaka,Kelantan,18.813
2021,Melaka,Melaka,141.083
2021,Melaka,Negeri Sembilan,26.804
2021,Melaka,Pahang,34.229
2021,Melaka,Pulau Pinang,9.66
2021,Melaka,Perak,7.836
2021,Melaka,Perlis,5.437
2021,Melaka,Selangor,22.39
2021,Melaka,Terengganu,27.968
2021,Melaka,Sabah,0.0
2021,Melaka,Sarawak,0.0
2021,Melaka,W.P. Kuala Lumpur,35.637
2021,Melaka,W.P. Labuan,0.0
2021,Melaka,W.P. Putrajaya,4.283
2021,Negeri Sembilan,Johor,52.317
2021,Negeri Sembilan,Kedah,11.197
2021,Negeri Sembilan,Kelantan,8.314
2021,Negeri Sembilan,Melaka,126.344
2021,Negeri Sembilan,Negeri Sembilan,469.716
2021,Negeri Sembilan,Pahang,8.108
2021,Negeri Sembilan,Pulau Pinang,12.682
2021,Negeri Sembilan,Perak,12.322
2021,Negeri Sembilan,Perlis,4.426
2021,Negeri Sembilan,Selangor,8.381
2021,Negeri Sembilan,Terengganu,5.331
2021,Negeri Sembilan,Sabah,0.0
2021,Negeri Sembilan,Sarawak,12.097
2021,Negeri Sembilan,W.P. Kuala Lumpur,28.224
2021,Negeri Sembilan,W.P. Labuan,0.0
2021,Negeri Sembilan,W.P. Putrajaya,3.638
2021,Pahang,Johor,18.016
2021,Pahang,Kedah,5.245
2021,Pahang,Kelantan,53.86
2021,Pahang,Melaka,11.158
2021,Pahang,Negeri Sembilan,10.754
2021,Pahang,Pahang,600.341
2021,Pahang,Pulau Pinang,14.557
2021,Pahang,Perak,19.663
2021,Pahang,Perlis,6.046
2021,Pahang,Selangor,72.641
2021,Pahang,Terengganu,80.888
2021,Pahang,Sabah,0.0
2021,Pahang,Sarawak,10.222
2021,Pahang,W.P. Kuala Lumpur,77.469
2021,Pahang,W.P. Labuan,0.0
2021,Pahang,W.P. Putrajaya,4.836
2021,Pulau Pinang,Johor,21.305
2021,Pulau Pinang,Kedah,163.129
2021,Pulau Pinang,Kelantan,26.852
2021,Pulau Pinang,Melaka,11.356
2021,Pulau Pinang,Negeri Sembilan,8.953
2021,Pulau Pinang,Pahang,33.351
2021,Pulau Pinang,Pulau Pinang,76.549
2021,Pulau Pinang,Perak,103.29
2021,Pulau Pinang,Perlis,13.899
2021,Pulau Pinang,Selangor,35.058
2021,Pulau Pinang,Terengganu,28.387
2021,Pulau Pinang,Sabah,8.059
2021,Pulau Pinang,Sarawak,6.966
2021,Pulau Pinang,W.P. Kuala Lumpur,96.267
2021,Pulau Pinang,W.P. Labuan,0.0
2021,Pulau Pinang,W.P. Putrajaya,4.297
2021,Perak,Johor,51.114
2021,Perak,Kedah,85.304
2021,Perak,Kelantan,56.782
2021,Perak,Melaka,26.356
2021,Perak,Negeri Sembilan,2.681
2021,Perak,Pahang,15.403
2021,Perak,Pulau Pinang,52.93
2021,Perak,Perak,443.884
2021,Perak,Perlis,2.04
2021,Perak,Selangor,16.686
2021,Perak,Terengganu,60.435
2021,Perak,Sabah,8.725
2021,Perak,Sarawak,12.972
2021,Perak,W.P. Kuala Lumpur,66.887
2021,Perak,W.P. Labuan,3.584
2021,Perak,W.P. Putrajaya,11.417
2021,Perlis,Johor,7.075
2021,Perlis,Kedah,11.135
2021,Perlis,Kelantan,1.469
2021,Perlis,Melaka,1.179
2021,Perlis,Negeri Sembilan,2.434
2021,Perlis,Pahang,2.939
2021,Perlis,Pulau Pinang,11.972
2021,Perlis,Perak,13.059
2021,Perlis,Perlis,1.958
2021,Perlis,Selangor,8.704
2021,Perlis,Terengganu,3.255
2021,Perlis,Sabah,0.0
2021,Perlis,Sarawak,0.0
