year,state,rank,attraction_name
2022,Perlis,1,Arked Niaga Padang Besar
2022,Perlis,2,Masjid Terapung
2022,Perlis,3,Hutan Lipur Bukit Ayer
2022,Perlis,4,Padang Waremart
2022,Perlis,5,Tasik Timah Tasoh
2022,Selangor,1,IOI City Mall
2022,Selangor,2,The Curve
2022,Selangor,3,Sunway Pyramid Shopping Mall
2022,Selangor,4,GM Klang Wholesale City
2022,Selangor,5,"i-City, Shah Alam"
2022,Terengganu,1,KTCC Mall
2022,Terengganu,2,Terengganu Drawbridge
2022,Terengganu,3,Pantai Batu Buruk
2022,Terengganu,4,Pasar Besar Kedai Payang
2022,Terengganu,5,Pulau Warisan (i-City Terengganu)
2022,Sabah,1,Imago Shopping Mall
2022,Sabah,2,One Borneo Hypermall
2022,Sabah,3,Desa Dairy Farm
2022,Sabah,4,Air Panas Poring
2022,Sabah,5,Suria Sabah Shopping Mall
2022,Sarawak,1,Daesco Star Mega Mall
2022,Sarawak,2,Pasar Sentral Sibu
2022,Sarawak,3,Vivacity Megamall
2022,Sarawak,4,Wisma Sanyan
2022,Sarawak,5,The Spring Shopping Mall
2022,W.P. Kuala Lumpur,1,Mid Valley Megamall
2022,W.P. Kuala Lumpur,2,Berjaya Times Square
2022,W.P. Kuala Lumpur,3,Pavilion Kuala Lumpur
2022,W.P. Kuala Lumpur,4,SOGO
2022,W.P. Kuala Lumpur,5,Lalaport Bukit Bintang City Centre (BBCC)
2022,W.P. Labuan,1,Pantai Layang-layang
2022,W.P. Labuan,2,Taman Marin Laut
2022,W.P. Labuan,3,Kampung Patau-Patau
2022,W.P. Labuan,4,Kompleks Ujana Kewangan
2022,W.P. Labuan,5,Memorial Perang Dunia Kedua
2022,W.P. Putrajaya,1,Alamanda Shopping Centre
2022,W.P. Putrajaya,2,"Dataran Putrajaya, Presint 3"
2022,W.P. Putrajaya,3,Galeria PJH
2022,W.P. Putrajaya,4,Taman Cabaran
2022,W.P. Putrajaya,5,"Taman Botani, Presint 1"
2023,Johor,1,Paradigm Mall Johor Bahru
2023,Johor,2,Pantai Desaru
2023,Johor,3,Toppen Shopping Centre
2023,Johor,4,"The Mall, Mid Valley Southkey"
2023,Johor,5,Legoland Malaysia
2023,Kedah,1,Pantai Cenang
2023,Kedah,2,Aman Central Mall
2023,Kedah,3,Langkawi Cable Car
2023,Kedah,4,National Art Gallery
2023,Kedah,5,Pantai Merdeka
2023,Kelantan,1,AEON Lembah Sireh
2023,Kelantan,2,Pasar Siti Khadijah
2023,Kelantan,3,KB Mall
2023,Kelantan,4,Pantai Irama
2023,Kelantan,5,Kawasan Membeli Belah Bebas Cukai Rantau Panjang
2023,Melaka,1,Pantai Klebang
2023,Melaka,2,Dataran Pahlawan
2023,Melaka,3,Mahkota Parade
2023,Melaka,4,Jonker Street/ Jalan Hang Jebat
2023,Melaka,5,Pantai Pengkalan Balak
2023,Pahang,1,East Cost Mall (ECM)
2023,Pahang,2,Kuantan City Mall
2023,Pahang,3,Genting Highlands
2023,Pahang,4,Cameron Highlands
2023,Pahang,5,Pantai Teluk Cempedak
2023,Pulau Pinang,1,Queensbay Mall
2023,Pulau Pinang,2,Gurney Paragon Mall
2023,Pulau Pinang,3,Pantai Batu Ferringhi
2023,Pulau Pinang,4,1st Avenue Mall
